id_batiment,annee,mois,consommation_elec_kwh,consommation_gaz_kwh,consommation_totale_kwh,temperature_moy_c,dju_chauffage
B001,2021,1,28500,95000,123500,3.2,412
B001,2021,2,26800,88000,114800,4.1,368
B001,2021,3,24200,62000,86200,8.5,248
B001,2021,4,21000,28000,49000,13.2,105
B001,2021,5,19500,8000,27500,17.8,32
B001,2021,6,22000,0,22000,21.5,0
B001,2021,7,25000,0,25000,24.2,0
B001,2021,8,24500,0,24500,23.8,0
B001,2021,9,21500,5000,26500,19.1,18
B001,2021,10,23000,35000,58000,13.5,98
B001,2021,11,25500,75000,100500,7.2,310
B001,2021,12,27800,92000,119800,3.8,395
B001,2022,1,29200,97000,126200,2.8,428
B001,2022,2,27500,91000,118500,3.9,382
B001,2022,3,25000,65000,90000,7.8,268
B001,2022,4,22000,30000,52000,12.5,118
B001,2022,5,20000,9000,29000,17.1,38
B001,2022,6,23500,0,23500,22.0,0
B001,2022,7,26800,0,26800,25.1,0
B001,2022,8,26200,0,26200,24.5,0
B001,2022,9,22000,6000,28000,18.8,22
B001,2022,10,24000,37000,61000,12.9,112
B001,2022,11,26500,78000,104500,6.5,328
B001,2022,12,28500,95000,123500,3.2,412
B001,2023,1,27000,89000,116000,3.5,398
B001,2023,2,25500,82000,107500,4.5,352
B001,2023,3,23000,58000,81000,9.2,228
B001,2023,4,20000,25000,45000,14.0,88
B001,2023,5,18500,6000,24500,18.5,18
B001,2023,6,21000,0,21000,22.2,0
B001,2023,7,24000,0,24000,24.8,0
B001,2023,8,23500,0,23500,24.0,0
B001,2023,9,20500,4000,24500,19.5,12
B001,2023,10,22000,32000,54000,14.2,88
B001,2023,11,24500,70000,94500,7.8,288
B001,2023,12,26500,86000,112500,4.2,372
B003,2021,1,6200,28000,34200,5.8,365
B003,2021,2,5800,25000,30800,6.5,320
B003,2021,3,5200,18000,23200,10.2,220
B003,2021,4,4500,7000,11500,14.8,88
B003,2021,5,4000,1500,5500,19.2,18
B003,2021,6,3800,0,3800,23.0,0
B003,2021,7,3600,0,3600,26.0,0
B003,2021,8,3600,0,3600,25.5,0
B003,2021,9,4000,2000,6000,20.5,8
B003,2021,10,4800,12000,16800,14.2,82
B003,2021,11,5500,22000,27500,8.5,278
B003,2021,12,6000,27000,33000,5.2,355
B003,2022,1,6500,30000,36500,5.2,388
B003,2022,2,6000,27000,33000,6.0,338
B003,2022,3,5500,20000,25500,9.5,242
B003,2022,4,4800,8000,12800,14.0,98
B003,2022,5,4200,2000,6200,18.8,22
B003,2022,6,4000,0,4000,23.5,0
B003,2022,7,3800,0,3800,26.5,0
B003,2022,8,3800,0,3800,26.0,0
B003,2022,9,4200,2500,6700,20.0,12
B003,2022,10,5000,13500,18500,13.8,95
B003,2022,11,5800,24000,29800,8.0,295
B003,2022,12,6200,29000,35200,4.8,378
