ville,region,annee,mois,temperature_moy_c,temperature_min_c,temperature_max_c,dju_chauffage,precipitation_mm,ensoleillement_h
Paris,Ile-de-France,2021,1,3.2,0.1,6.8,412,62,48
Paris,Ile-de-France,2021,2,4.1,1.0,7.5,368,42,62
Paris,Ile-de-France,2021,3,8.5,4.2,13.2,248,52,128
Paris,Ile-de-France,2021,4,13.2,8.5,18.0,105,45,185
Paris,Ile-de-France,2021,5,17.8,12.5,23.2,32,58,212
Paris,Ile-de-France,2021,6,21.5,16.0,27.0,0,48,238
Paris,Ile-de-France,2021,7,24.2,18.5,30.0,0,35,285
Paris,Ile-de-France,2021,8,23.8,18.0,29.5,0,38,262
Paris,Ile-de-France,2021,9,19.1,13.5,24.8,18,58,185
Paris,Ile-de-France,2021,10,13.5,8.2,18.8,98,72,128
Paris,Ile-de-France,2021,11,7.2,3.0,11.5,310,68,68
Paris,Ile-de-France,2021,12,3.8,0.5,7.2,395,62,42
Paris,Ile-de-France,2022,1,2.8,-0.5,6.5,428,58,45
Paris,Ile-de-France,2022,2,3.9,0.8,7.2,382,48,58
Paris,Ile-de-France,2022,3,7.8,3.5,12.5,268,55,118
Paris,Ile-de-France,2022,4,12.5,7.8,17.2,118,48,175
Paris,Ile-de-France,2022,5,17.1,11.8,22.5,38,52,205
Paris,Ile-de-France,2022,6,22.0,16.5,27.5,0,42,248
Paris,Ile-de-France,2022,7,25.1,19.2,31.0,0,28,298
Paris,Ile-de-France,2022,8,24.5,18.8,30.2,0,32,275
Paris,Ile-de-France,2022,9,18.8,13.0,24.5,22,62,178
Paris,Ile-de-France,2022,10,12.9,7.5,18.2,112,78,118
Paris,Ile-de-France,2022,11,6.5,2.2,10.8,328,72,62
Paris,Ile-de-France,2022,12,3.2,0.0,6.5,412,65,38
Paris,Ile-de-France,2023,1,3.5,0.2,6.8,398,60,45
Paris,Ile-de-France,2023,2,4.5,1.2,7.8,352,45,65
Paris,Ile-de-France,2023,3,9.2,4.8,13.8,228,50,132
Paris,Ile-de-France,2023,4,14.0,9.2,18.8,88,42,192
Paris,Ile-de-France,2023,5,18.5,13.0,24.0,18,55,218
Paris,Ile-de-France,2023,6,22.2,16.8,27.8,0,45,252
Paris,Ile-de-France,2023,7,24.8,19.0,30.5,0,32,292
Paris,Ile-de-France,2023,8,24.0,18.2,29.8,0,35,268
Paris,Ile-de-France,2023,9,19.5,13.8,25.2,12,55,188
Paris,Ile-de-France,2023,10,14.2,8.8,19.5,88,68,132
Paris,Ile-de-France,2023,11,7.8,3.5,12.2,288,65,72
Paris,Ile-de-France,2023,12,4.2,0.8,7.5,372,60,42
Lyon,Auvergne-Rhône-Alpes,2021,1,4.2,0.5,8.0,388,52,55
Lyon,Auvergne-Rhône-Alpes,2021,2,5.0,1.5,8.8,342,45,68
Lyon,Auvergne-Rhône-Alpes,2021,3,9.2,4.8,13.8,228,55,135
Lyon,Auvergne-Rhône-Alpes,2021,4,13.8,8.8,18.8,98,48,192
Lyon,Auvergne-Rhône-Alpes,2021,5,18.5,13.0,24.0,22,52,225
Lyon,Auvergne-Rhône-Alpes,2021,6,22.5,17.0,28.0,0,45,258
Lyon,Auvergne-Rhône-Alpes,2021,7,25.0,19.5,30.5,0,32,305
Lyon,Auvergne-Rhône-Alpes,2021,8,24.5,19.0,30.0,0,35,282
Lyon,Auvergne-Rhône-Alpes,2021,9,19.5,14.0,25.0,15,55,198
Lyon,Auvergne-Rhône-Alpes,2021,10,13.2,8.0,18.5,102,68,138
Lyon,Auvergne-Rhône-Alpes,2021,11,7.5,3.2,12.0,318,62,72
Lyon,Auvergne-Rhône-Alpes,2021,12,4.5,0.8,8.2,375,58,45
Lyon,Auvergne-Rhône-Alpes,2022,1,3.8,0.0,7.8,402,55,48
Lyon,Auvergne-Rhône-Alpes,2022,2,4.8,1.2,8.5,355,48,62
Lyon,Auvergne-Rhône-Alpes,2022,3,8.5,4.2,13.0,245,58,122
Lyon,Auvergne-Rhône-Alpes,2022,4,13.2,8.2,18.2,112,50,182
Lyon,Auvergne-Rhône-Alpes,2022,5,18.0,12.5,23.5,28,55,218
Lyon,Auvergne-Rhône-Alpes,2022,6,23.0,17.5,28.5,0,42,265
Lyon,Auvergne-Rhône-Alpes,2022,7,25.5,20.0,31.0,0,28,312
Lyon,Auvergne-Rhône-Alpes,2022,8,25.0,19.5,30.5,0,30,288
Lyon,Auvergne-Rhône-Alpes,2022,9,19.2,13.8,24.8,18,58,192
Lyon,Auvergne-Rhône-Alpes,2022,10,12.8,7.8,18.0,115,72,128
Lyon,Auvergne-Rhône-Alpes,2022,11,7.0,2.8,11.5,332,68,65
Lyon,Auvergne-Rhône-Alpes,2022,12,4.2,0.5,7.8,388,60,38
Lyon,Auvergne-Rhône-Alpes,2023,1,4.0,0.5,7.8,395,52,48
Lyon,Auvergne-Rhône-Alpes,2023,2,5.2,1.8,8.8,345,42,68
Lyon,Auvergne-Rhône-Alpes,2023,3,9.8,5.2,14.5,215,50,142
Lyon,Auvergne-Rhône-Alpes,2023,4,14.2,9.0,19.5,88,45,198
Lyon,Auvergne-Rhône-Alpes,2023,5,19.0,13.5,24.5,18,50,232
Lyon,Auvergne-Rhône-Alpes,2023,6,23.2,17.8,28.8,0,40,272
Lyon,Auvergne-Rhône-Alpes,2023,7,25.2,19.8,31.2,0,30,318
Lyon,Auvergne-Rhône-Alpes,2023,8,24.8,19.2,30.5,0,32,295
Lyon,Auvergne-Rhône-Alpes,2023,9,19.8,14.2,25.5,12,52,202
Lyon,Auvergne-Rhône-Alpes,2023,10,13.5,8.5,18.8,98,65,135
Lyon,Auvergne-Rhône-Alpes,2023,11,8.0,3.5,12.5,305,60,75
Lyon,Auvergne-Rhône-Alpes,2023,12,4.8,1.0,8.5,378,55,42
Bordeaux,Nouvelle-Aquitaine,2021,1,5.8,2.0,9.8,365,72,62
Bordeaux,Nouvelle-Aquitaine,2021,2,6.5,2.8,10.5,320,62,75
Bordeaux,Nouvelle-Aquitaine,2021,3,10.2,5.8,14.8,220,58,148
Bordeaux,Nouvelle-Aquitaine,2021,4,14.8,9.8,20.0,88,52,205
Bordeaux,Nouvelle-Aquitaine,2021,5,19.2,13.8,24.8,18,48,238
Bordeaux,Nouvelle-Aquitaine,2021,6,23.0,17.5,28.5,0,42,272
Bordeaux,Nouvelle-Aquitaine,2021,7,26.0,20.5,31.5,0,30,315
Bordeaux,Nouvelle-Aquitaine,2021,8,25.5,20.0,31.0,0,32,292
Bordeaux,Nouvelle-Aquitaine,2021,9,20.5,15.0,26.0,8,55,212
Bordeaux,Nouvelle-Aquitaine,2021,10,14.2,9.2,19.5,82,68,148
Bordeaux,Nouvelle-Aquitaine,2021,11,8.5,4.0,13.2,278,72,78
Bordeaux,Nouvelle-Aquitaine,2021,12,5.2,1.5,9.0,355,68,52
Bordeaux,Nouvelle-Aquitaine,2022,1,5.2,1.5,9.2,388,68,55
Bordeaux,Nouvelle-Aquitaine,2022,2,6.0,2.5,10.0,338,58,72
Bordeaux,Nouvelle-Aquitaine,2022,3,9.5,5.2,14.2,242,62,138
Bordeaux,Nouvelle-Aquitaine,2022,4,14.0,9.0,19.5,98,55,195
Bordeaux,Nouvelle-Aquitaine,2022,5,18.8,13.2,24.5,22,50,228
Bordeaux,Nouvelle-Aquitaine,2022,6,23.5,18.0,29.0,0,38,278
Bordeaux,Nouvelle-Aquitaine,2022,7,26.5,21.0,32.0,0,25,322
Bordeaux,Nouvelle-Aquitaine,2022,8,26.0,20.5,31.5,0,28,298
Bordeaux,Nouvelle-Aquitaine,2022,9,20.0,14.8,25.5,12,58,205
